,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
64,Dominick Puni,SF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Siran Neal,SF,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Spencer Burford,SF,G,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Ikem Ekwonu,CAR,OT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,David Long Jr.,CAR,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Cade Mays,CAR,C,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Keion Crossen,CAR,DB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,JJ Jansen,CAR,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Connor McGovern,BUF,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,O'Cyrus Torrence,BUF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mecole Hardman,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2
