,,,,,Passing,,,Rushing,,Recieving,,,,,,,,
RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
62,Luke Newman,CHI,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Scott Daly,CHI,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Jalen Reeves-Maybin,CHI,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Travis Homer,CHI,RB,10,0,0,0,-2,0,0,0,0,0,0,0,0,0,-0.2
66,Brady Russell,SEA,FB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Jalen Milroe,SEA,QB,3,0,0,0,4,0,0,0,0,0,0,0,0,-0.5,-1.6
68,Spencer Brown,BUF,OT,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Chase Lundt,BUF,OT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Alec Anderson,BUF,OT,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Jimmy Ciarlo,BUF,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Connor McGovern,BUF,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,O'Cyrus Torrence,BUF,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Mecole Hardman,BUF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2
